Date,Open,High,Low,Close,Volume
2009-11-19 00:00:00,22752.5,22853.5,22537.5,22537.5,0
2009-11-20 00:00:00,22543.5,22599.5,22357.5,22408.5,0
2009-11-22 00:00:00,22422.5,22422.5,22422.5,22422.5,0
2009-11-23 00:00:00,22514.5,22805.5,22486.5,22772.5,0
2009-11-24 00:00:00,22785.5,22819.5,22263.5,22476.5,0
2009-11-25 00:00:00,22462.5,22680.5,22356.5,22606.5,0
2009-11-26 00:00:00,22645.5,22645.5,22091.5,22170.5,0
2009-11-27 00:00:00,22168.5,22168.5,20960.5,21194.5,0
2009-11-29 00:00:00,21184.5,21184.5,21184.5,21184.5,0
2009-11-30 00:00:00,21697.5,21933.5,21623.5,21732.5,0
2009-12-01 00:00:00,21694.5,22265.5,21694.5,22265.5,0
2009-12-02 00:00:00,22356.5,22455.5,22275.5,22409.5,0
2009-12-03 00:00:00,22420.5,22636.5,22357.5,22531.5,0
2009-12-04 00:00:00,22388.5,22569.5,22240.5,22429.5,0
2009-12-06 00:00:00,22427.5,22427.5,22427.5,22427.5,0
2009-12-07 00:00:00,22432.5,22500.5,22244.5,22333.5,0
2009-12-08 00:00:00,22362.5,22375.5,22003.5,22072.5,0
2009-12-09 00:00:00,22064.5,22064.5,21633.5,21898.5,0
2009-12-10 00:00:00,21999.5,22004.5,21541.5,21690.5,0
2009-12-11 00:00:00,21819.5,22189.5,21776.5,21871.5,0
2009-12-13 00:00:00,21878.5,21878.5,21878.5,21878.5,0
2009-12-14 00:00:00,21823.5,22257.5,21519.5,21914.5,0
2009-12-15 00:00:00,21915.5,21992.5,21750.5,21750.5,0
2009-12-16 00:00:00,21755.5,21949.5,21499.5,21634.5,0
2009-12-17 00:00:00,21584.5,21668.5,21193.5,21353.5,0
2009-12-18 00:00:00,21131.5,21297.5,21067.5,21131.5,0
2009-12-20 00:00:00,21126.5,21126.5,21126.5,21126.5,0
2009-12-21 00:00:00,21126.5,21199.5,20897.5,20912.5,0
2009-12-22 00:00:00,20911.5,21209.5,20911.5,21034.5,0
2009-12-23 00:00:00,21033.5,21344.5,21001.5,21260.5,0
2009-12-24 00:00:00,21270.5,21606.5,21270.5,21542.5,0
2009-12-25 00:00:00,21544.5,21544.5,21544.5,21544.5,0
2009-12-27 00:00:00,21585.5,21585.5,21585.5,21585.5,0
2009-12-28 00:00:00,21495.5,21743.5,21430.5,21481.5,0
2009-12-29 00:00:00,21472.5,21607.5,21371.5,21447.5,0
2009-12-30 00:00:00,21441.5,21557.5,21353.5,21557.5,0
